lfhf,pnn50,sloc,ted,elapsed-seconds,label
3.47,0.14,8,0,162,0
3.44,0.14,8,0,163,0
3.37,0.14,8,0,164,0
3.33,0.13,8,0,165,0
3.31,0.14,8,0,166,0
3.28,0.14,8,0,167,0
3.24,0.15,8,0,168,0
3.23,0.14,8,0,169,0
3.19,0.14,8,0,170,0
3.18,0.13,8,0,171,0
3.18,0.13,8,0,172,0
3.18,0.13,8,0,173,0
3.18,0.13,8,0,174,0
3.19,0.13,8,0,175,0
3.21,0.13,8,0,176,0
3.24,0.13,8,0,177,0
3.26,0.12,8,0,178,0
3.29,0.12,8,0,179,0
3.31,0.12,8,0,180,0
3.38,0.13,8,0,181,0
3.4,0.13,8,0,182,0
3.43,0.12,8,0,183,0
3.51,0.13,8,0,184,0
3.55,0.13,8,0,185,0
3.66,0.13,8,0,187,0
3.73,0.14,8,0,188,0
3.77,0.14,8,0,189,0
3.85,0.14,8,0,190,0
3.89,0.14,8,0,191,0
3.93,0.14,8,0,192,0
3.99,0.14,8,0,193,0
4.03,0.14,8,0,194,0
4.08,0.14,8,0,195,0
4.11,0.14,8,0,196,0
4.13,0.15,8,0,197,0
4.14,0.15,8,0,198,0
4.15,0.15,8,0,199,0
4.16,0.15,8,0,200,0
4.18,0.15,8,0,202,0
4.17,0.14,8,0,203,0
4.16,0.14,8,0,204,0
4.15,0.13,8,0,205,0
4.13,0.13,8,0,206,0
4.11,0.13,8,0,207,0
4.09,0.13,8,0,208,0
4.05,0.13,8,0,209,0
4.03,0.13,8,0,210,0
4.01,0.13,8,0,211,0
3.97,0.13,8,0,212,0
3.94,0.13,8,0,213,0
3.92,0.13,8,0,214,0
3.87,0.13,13,4,0,0
3.85,0.13,13,4,1,0
3.82,0.12,13,4,2,0
3.78,0.12,13,4,3,0
3.75,0.13,13,4,4,0
3.73,0.13,13,4,5,0
3.7,0.12,13,4,6,0
3.67,0.12,13,4,7,0
3.64,0.12,13,4,8,0
3.59,0.12,13,4,9,0
3.57,0.12,13,4,10,0
3.56,0.12,13,4,11,0
3.53,0.12,13,4,12,0
3.48,0.12,13,4,13,0
3.46,0.12,13,4,14,0
3.45,0.12,13,4,15,0
3.41,0.12,13,4,16,0
3.39,0.12,13,4,17,0
3.39,0.12,13,4,18,0
3.36,0.12,13,4,19,0
3.35,0.11,13,4,20,0
3.34,0.11,13,4,21,0
3.32,0.11,13,4,23,0
3.33,0.11,13,4,24,0
3.33,0.11,13,4,25,0
3.34,0.12,13,4,26,0
3.35,0.11,13,4,27,0
3.37,0.1,13,4,28,0
3.39,0.1,13,4,29,0
3.43,0.11,13,4,30,0
3.46,0.12,13,4,31,0
3.49,0.12,13,4,32,0
3.56,0.12,13,4,33,0
3.59,0.13,13,4,34,0
3.65,0.13,13,4,35,0
3.69,0.14,13,4,36,0
3.8,0.14,13,4,37,0
3.85,0.14,13,4,38,0
3.91,0.14,14,2,0,0
3.98,0.14,14,2,1,0
4.04,0.13,14,2,2,0
4.17,0.12,14,2,3,0
4.24,0.12,14,2,4,0
4.3,0.12,14,2,5,0
4.36,0.12,14,2,6,0
4.45,0.11,14,2,7,0
4.56,0.11,14,2,8,0
4.61,0.1,14,2,9,0
4.68,0.1,14,2,10,0
4.73,0.11,14,2,11,0
4.8,0.11,14,2,12,0
4.83,0.12,14,2,13,0
4.85,0.12,14,2,14,0
4.86,0.12,14,2,15,0
4.87,0.12,14,2,16,0
4.87,0.12,14,2,17,0
4.86,0.12,14,2,18,0
4.83,0.11,14,2,19,0
4.8,0.11,14,2,20,0
4.77,0.12,14,2,21,0
4.74,0.12,14,2,22,0
4.64,0.12,14,2,23,0
4.59,0.12,14,2,24,0
4.54,0.13,14,2,25,0
4.47,0.13,14,2,26,0
4.41,0.13,14,2,27,0
4.29,0.14,14,2,28,0
4.23,0.14,14,2,29,0
4.15,0.14,14,2,30,0
4.08,0.14,14,2,31,0
4.01,0.14,14,2,32,0
3.89,0.15,14,2,33,0
3.82,0.15,14,2,34,0
3.76,0.15,14,2,35,0
3.64,0.15,14,2,36,0
3.58,0.15,14,2,37,0
3.46,0.15,14,2,38,0
3.41,0.15,14,2,39,0
3.35,0.15,14,2,40,0
3.24,0.15,14,2,41,0
3.19,0.15,14,2,42,0
3.14,0.14,14,2,43,0
3.09,0.14,14,2,44,0
3.0,0.14,14,2,45,0
2.96,0.14,14,2,46,0
2.93,0.14,14,2,47,0
2.89,0.14,16,2,0,0
2.83,0.13,16,2,1,0
2.8,0.13,16,2,2,0
2.77,0.13,16,2,3,0
2.74,0.13,16,2,4,0
2.69,0.14,16,2,5,0
2.65,0.13,16,2,7,0
2.64,0.13,16,2,8,0
2.63,0.14,16,2,9,0
2.62,0.14,16,2,10,0
2.62,0.15,16,2,11,0
2.62,0.15,16,2,12,0
2.62,0.15,16,2,13,0
2.64,0.15,16,2,14,0
2.65,0.15,16,2,15,0
2.66,0.14,16,2,16,0
2.7,0.14,16,2,17,0
2.72,0.14,16,2,18,0
2.75,0.14,16,2,19,0
2.8,0.13,16,2,0,0
2.83,0.13,16,2,1,0
2.89,0.12,16,2,2,0
2.93,0.12,16,2,3,0
2.96,0.12,16,2,4,0
3.0,0.11,16,2,5,0
3.08,0.1,16,2,6,0
3.11,0.11,16,2,7,0
3.19,0.11,16,2,8,0
3.22,0.11,16,2,9,0
