lfhf,pnn50,sloc,ted,elapsed-seconds,label
3.61,0.21,0,0,209,0
3.59,0.21,0,0,210,0
3.57,0.21,0,0,211,0
3.56,0.22,0,0,212,0
3.52,0.22,0,0,213,0
3.5,0.22,0,0,214,0
3.49,0.23,0,0,215,0
3.47,0.23,0,0,216,0
3.43,0.23,0,0,217,0
3.42,0.23,0,0,218,0
3.4,0.23,0,0,219,0
3.39,0.22,0,0,220,0
3.36,0.21,0,0,221,0
3.35,0.21,0,0,222,0
3.33,0.2,0,0,223,0
3.3,0.21,0,0,224,0
3.3,0.21,0,0,225,0
3.29,0.22,0,0,226,0
3.29,0.22,0,0,227,0
3.29,0.22,0,0,228,0
3.29,0.22,0,0,229,0
3.29,0.22,0,0,230,0
3.31,0.22,0,0,232,0
3.35,0.21,0,0,233,0
3.37,0.21,0,0,234,0
3.41,0.23,0,0,235,0
3.44,0.22,0,0,236,0
3.47,0.22,0,0,237,0
3.54,0.21,0,0,238,0
3.58,0.21,0,0,0,0
3.62,0.22,14,0,1,0
3.67,0.22,14,0,2,0
3.82,0.22,14,0,3,0
3.85,0.22,14,0,4,0
3.9,0.22,14,0,5,0
4.02,0.21,14,0,6,0
4.08,0.21,14,0,7,0
4.15,0.21,14,0,8,0
4.28,0.21,14,0,9,0
4.34,0.21,14,0,10,0
4.41,0.21,14,0,11,0
4.49,0.2,14,0,12,0
4.61,0.2,14,0,13,0
4.66,0.2,14,0,14,0
4.72,0.2,14,0,15,0
4.81,0.2,14,0,16,0
4.86,0.2,14,0,17,0
4.89,0.2,14,0,18,0
4.97,0.2,14,0,19,0
4.95,0.2,14,0,20,0
4.95,0.21,14,0,21,0
5.0,0.21,14,0,22,0
4.9,0.21,14,0,23,0
4.94,0.21,14,0,25,0
4.68,0.21,14,0,26,0
4.6,0.21,14,0,27,0
4.59,0.22,14,0,28,0
4.54,0.23,14,0,31,0
4.45,0.23,15,2,0,0
4.27,0.23,15,2,3,0
4.09,0.23,15,2,7,0
3.91,0.23,15,2,10,0
3.6,0.23,15,2,13,0
3.53,0.23,15,2,14,0
3.53,0.24,15,2,15,0
3.37,0.24,15,2,16,0
3.21,0.24,15,2,17,0
1.44,0.23,15,2,18,0
1.48,0.23,15,2,19,0
1.48,0.22,15,2,20,0
1.49,0.22,15,2,21,0
1.5,0.2,15,2,22,0
1.51,0.2,15,2,23,0
1.51,0.2,15,2,24,0
1.53,0.19,15,2,25,0
1.54,0.18,15,2,26,0
1.55,0.19,15,2,27,0
1.56,0.19,15,2,28,0
1.58,0.21,15,2,29,0
1.59,0.21,16,2,0,0
1.6,0.2,16,2,1,0
1.61,0.2,16,2,2,0
1.62,0.19,16,2,3,0
1.65,0.2,16,2,5,0
1.67,0.2,16,2,6,0
1.69,0.21,16,2,7,0
1.71,0.22,16,2,8,0
1.73,0.23,16,2,9,0
1.75,0.23,16,2,10,0
1.77,0.23,16,2,11,0
1.78,0.23,16,2,12,0
1.82,0.22,16,2,14,0
1.85,0.22,16,2,15,0
1.87,0.22,16,2,0,0
1.88,0.22,16,2,1,0
1.91,0.23,16,2,2,0
1.93,0.23,16,2,3,0
1.96,0.24,16,2,4,0
1.98,0.23,16,2,5,0
2.0,0.22,16,2,6,0
2.02,0.23,16,2,7,0
2.07,0.23,16,2,8,0
2.09,0.24,16,2,9,0
2.11,0.25,16,2,10,0
2.14,0.24,16,2,11,0
2.2,0.25,16,2,12,0
2.23,0.24,16,2,13,0
2.26,0.25,16,2,14,0
2.29,0.25,16,2,15,0
2.35,0.26,16,2,16,0
2.39,0.26,16,2,17,0
2.42,0.26,16,2,18,0
2.46,0.26,16,2,19,0
2.49,0.27,16,2,20,0
2.56,0.28,16,2,21,0
2.6,0.29,16,2,22,0
2.64,0.29,16,2,23,0
2.75,0.3,16,2,25,0
2.8,0.3,16,2,26,0
2.89,0.31,16,2,27,0
2.94,0.31,16,2,0,0
3.05,0.31,16,2,1,0
3.1,0.32,16,2,2,0
3.11,0.32,16,2,3,0
3.17,0.31,16,2,4,0
3.28,0.31,16,2,5,0
3.39,0.31,16,2,6,0
3.45,0.31,16,2,7,0
3.44,0.31,16,2,8,0
3.54,0.3,16,2,9,0
3.58,0.29,16,2,10,0
3.62,0.28,16,2,11,0
3.68,0.28,16,2,12,0
3.7,0.28,16,2,13,0
3.71,0.28,16,2,14,0
3.7,0.28,16,2,15,0
3.68,0.27,16,2,16,0
3.65,0.26,16,2,17,0
3.56,0.27,16,2,18,0
3.5,0.27,16,0,0,0
3.43,0.27,16,0,1,0
3.36,0.27,16,0,2,0
3.16,0.28,16,0,3,0
3.08,0.28,16,0,4,0
2.99,0.28,16,0,5,0
2.9,0.29,16,0,6,0
2.73,0.29,16,0,7,0
2.56,0.29,16,0,8,0
2.43,0.29,16,0,9,0
2.35,0.29,16,0,10,0
2.17,0.29,16,0,11,0
2.11,0.28,16,0,12,0
2.03,0.27,16,0,13,0
1.87,0.27,16,0,14,0
1.85,0.26,16,0,15,0
1.68,0.26,16,0,16,0
1.66,0.26,16,0,17,0
1.53,0.26,16,0,18,0
1.52,0.25,16,0,19,0
1.29,0.25,16,0,20,0
1.29,0.25,16,0,21,0
1.3,0.24,16,0,22,0
1.31,0.24,16,0,23,0
1.32,0.22,16,0,24,0
1.33,0.22,16,0,25,0
1.34,0.21,16,0,26,0
1.35,0.21,16,0,27,0
1.48,0.21,16,0,28,0
1.5,0.22,16,0,29,0
1.51,0.21,16,0,30,0
1.53,0.22,16,0,31,0
